2018-07-27 16:13:14,b'Join #Blockchain #Innovators and #visionaries from global brands like @Knotel @CapitalOne @AIGinsurance @BoxHQ at t\xe2\x80\xa6 https://t.co/QeW2y8eYaO'
2018-07-27 15:46:32,b'WeWork Competitor Knotel Pushes For Blockchain With 42Floors Acquisition https://t.co/bvJJ0IZ2lB'
2018-07-27 15:30:01,b'@WeWork Competitor @Knotel Pushes For #Blockchain With @42floors Acquisition https://t.co/3vFV4aUyva #PropTech #coworking'
2018-07-27 15:15:16,"b'Time is always in short supply at startups, so employees need to prioritize product and business development above\xe2\x80\xa6 https://t.co/W5gzOEw9HF'"
2018-07-27 15:09:40,b'WeWork Competitor Knotel Pushes For Blockchain With 42Floors Acquisition https://t.co/2HhyyRtofl https://t.co/QpKMVLyyAo'
2018-07-27 14:51:47,b'WeWork Competitor #Knotel Pushes For #Blockchain With 42Floors Acquisition via @forbes https://t.co/vCQtanod3h'
2018-07-27 14:46:31,b'WeWork Competitor Knotel Pushes For #Blockchain With 42Floors Acquisition via @forbes https://t.co/nZksn4Ky8o'
2018-07-27 14:07:14,b'WeWork Competitor Knotel Pushes For Blockchain With 42Floors Acquisition https://t.co/zGFkAACscO https://t.co/bqyXY3uSn1'
2018-07-27 13:31:29,b'WeWork Competitor Knotel Pushes For Blockchain With 42Floors Acquisition via @forbes https://t.co/XRCVTotDYQ'
2018-07-27 12:30:33,b'Knotel acquires 42Floors in order to build the blockchain of property https://t.co/O3DIAc8XZj via @techcrunch'
2018-07-27 11:58:52,b'Retweeted CoverWallet (@CoverWallet):\n\nGreat article in @Forbes by @jennaorwell about @knotel and how they provide\xe2\x80\xa6 https://t.co/UIITrdtrSj'
2018-07-27 11:58:43,b'RT @CoverWallet: Great article in @Forbes by @jennaorwell about @knotel and how they provide high-growth companies like CoverWallet with fl\xe2\x80\xa6'
2018-07-27 11:44:06,b'https://t.co/fucO687XAb WeWork Competitor Knotel Pushes For Blockchain With 42Floors Acquisition https://t.co/RME9ID64OF'
2018-07-27 11:26:59,b'RT @WorkChainCenter: Distributed Work Spaces for the Tech Community\nWe Work + Knotel + Technology Blockchain = Workchaincenters\nhttps://t.c\xe2\x80\xa6'
2018-07-27 11:05:15,b'WeWork Competitor Knotel Pushes For Blockchain With 42Floors Acquisition https://t.co/GZiRrKHUBN https://t.co/F834f9HJrc'
2018-07-27 09:42:43,"b'Have you heard of #Knotel? It might be the new #WeWork, read more at: https://t.co/iC5DI1Ngsk'"
2018-07-27 07:55:03,b'WeWork Competitor Knotel Pushes For Blockchain With 42Floors Acquisition https://t.co/ZsGG9WzTGG https://t.co/kNe4DwiQdu'
2018-07-27 06:56:25,b'RT @news_mainstream: WeWork Competitor Knotel Pushes For Blockchain With 42Floors Acquisition https://t.co/2TgroOy7mm #Blockchain #TechNews\xe2\x80\xa6'
2018-07-27 06:41:19,"b'Associate Director, Real Estate and Business Development, Knotel https://t.co/AbBiebJMQ4'"
2018-07-27 04:44:12,b'WeWork Competitor Knotel Pushes For Blockchain With 42Floors Acquisition https://t.co/5ph6uV3bJk https://t.co/ARR8PoF1Xf'
2018-07-27 04:17:14,b'Nice press on baya: https://t.co/gCJ05kkXG3'
2018-07-27 04:14:02,b'WeWork Competitor Knotel Pushes for Charm Bracelet With 42Floors Acquisition'
2018-07-27 01:42:24,b'https://t.co/c45WnR4VRV - WeWork Competitor Knotel Pushes For Blockchain With 42Floors Acquisition https://t.co/naaP24FCoU'
2018-07-27 00:54:29,"b'RT @inakib: \xe2\x80\x9cWe have had explosive growth in both customers and employees,\xe2\x80\x9d said CEO of @CoverWallet Inaki Berenguer. --\n""WeWork Competitor\xe2\x80\xa6'"
2018-07-27 00:27:11,b'WeWork Competitor Knotel Pushes For Blockchain With 42Floors Acquisition https://t.co/4Ybau2LxAg https://t.co/FefqRE41J4'
2018-07-26 23:24:38,b'WeWork Competitor Knotel Pushes For Blockchain With 42Floors Acquisition https://t.co/dIJfTc4q5u https://t.co/y1rPaJXhn9'
2018-07-26 23:23:06,b'WeWork Competitor Knotel Pushes For Blockchain With 42Floors Acquisition https://t.co/dHdbrdPWXR #blockchain #google #news #blockchain'
2018-07-26 23:11:17,b'WeWork Competitor Knotel Pushes For Blockchain With 42Floors Acquisition https://t.co/qqYRwMn3yM #blockchain\xe2\x80\xa6 https://t.co/tpffVHf5m0'
2018-07-26 23:02:30,"b'Wait, @knotel bought @42floors ?\n@Amol, when is the IPO/ICO?'"
2018-07-26 22:56:10,b'Very interesting (if not entirely unexpected) announcement by @knotel @42floors and @amol today. Thoughts\xe2\x80\xa6? https://t.co/Aji7Jnr95Q'
2018-07-26 22:12:48,"b'CRE = ""A dark market""... technology creates transparency and an improved industry that actually supports the busine\xe2\x80\xa6 https://t.co/JZIsYigjOs'"
2018-07-26 21:40:14,b'#Knotel #Blockchain for building data! https://t.co/As4TdplERH'
2018-07-26 21:22:08,"b'RT @inakib: \xe2\x80\x9cWe have had explosive growth in both customers and employees,\xe2\x80\x9d said CEO of @CoverWallet Inaki Berenguer. --\n""WeWork Competitor\xe2\x80\xa6'"
2018-07-26 21:12:34,b'WeWork Competitor Knotel Pushes For Blockchain With 42Floors Acquisition https://t.co/3tYQik4Kyz https://t.co/GYjFfZw6z3'
2018-07-26 21:07:55,"b'RT @eshender: Knotel has now officially launched Baya, a blockchain platform for mapping building data https://t.co/Ff7d9fMuxX #knotel #bay\xe2\x80\xa6'"
2018-07-26 20:42:18,b'RT @news_mainstream: WeWork Competitor Knotel Pushes For Blockchain With 42Floors Acquisition https://t.co/2TgroOy7mm #Blockchain #TechNews\xe2\x80\xa6'
2018-07-26 20:36:58,"b'RT @eshender: Knotel has now officially launched Baya, a blockchain platform for mapping building data https://t.co/Ff7d9fMuxX #knotel #bay\xe2\x80\xa6'"
2018-07-26 20:36:54,"b'RT @inakib: \xe2\x80\x9cWe have had explosive growth in both customers and employees,\xe2\x80\x9d said CEO of @CoverWallet Inaki Berenguer. --\n""WeWork Competitor\xe2\x80\xa6'"
2018-07-26 20:32:56,b'RT @news_mainstream: WeWork Competitor Knotel Pushes For Blockchain With 42Floors Acquisition https://t.co/2TgroOy7mm #Blockchain #TechNews\xe2\x80\xa6'
2018-07-26 20:30:04,"b'RT @eshender: Knotel has now officially launched Baya, a blockchain platform for mapping building data https://t.co/Ff7d9fMuxX #knotel #bay\xe2\x80\xa6'"
2018-07-26 20:27:46,b'Great article in @Forbes by @jennaorwell about @knotel and how they provide high-growth companies like CoverWallet\xe2\x80\xa6 https://t.co/7a7pptdhsP'
2018-07-26 20:26:21,"b'RT @eshender: Knotel has now officially launched Baya, a blockchain platform for mapping building data https://t.co/Ff7d9fMuxX #knotel #bay\xe2\x80\xa6'"
2018-07-26 20:18:47,"b'\xe2\x80\x9cWe have had explosive growth in both customers and employees,\xe2\x80\x9d said CEO of @CoverWallet Inaki Berenguer. --\n""WeWor\xe2\x80\xa6 https://t.co/RMvec76lDC'"
2018-07-26 20:11:26,b'#42floors Push for #realestate #data #commercialre https://t.co/xcRNyurijG'
2018-07-26 20:10:44,b'WeWork Competitor Knotel Pushes For Blockchain With 42Floors Acquisition https://t.co/WDzqr7pBCD https://t.co/GO4VdWpqcM'
2018-07-26 19:50:18,b'WeWork Competitor Knotel Pushes For Blockchain With 42Floors Acquisition ... https://t.co/7gewthwu6f https://t.co/tXtMmtcLEM'
2018-07-26 19:38:47,"b'Knotel has now officially launched Baya, a blockchain platform for mapping building data https://t.co/Ff7d9fMuxX #knotel #baya #blockchain'"
2018-07-26 19:10:26,b'WeWork Competitor Knotel Pushes For Blockchain With 42Floors Acquisition via @forbes https://t.co/ofJCcEwbR7'
2018-07-26 19:03:36,b'WeWork Competitor Knotel Pushes For Blockchain With 42Floors Acquisition https://t.co/95WfuDfvsJ'
2018-07-26 18:15:20,b'WeWork Competitor Knotel Pushes For Blockchain With 42Floors Acquisition https://t.co/epI5mlAZ4D'
2018-07-26 18:06:41,b'RT @news_mainstream: WeWork Competitor Knotel Pushes For Blockchain With 42Floors Acquisition https://t.co/2TgroOy7mm #Blockchain #TechNews\xe2\x80\xa6'
2018-07-26 17:54:37,b'RT @news_mainstream: WeWork Competitor Knotel Pushes For Blockchain With 42Floors Acquisition https://t.co/2TgroOy7mm #Blockchain #TechNews\xe2\x80\xa6'
2018-07-26 17:52:13,b'WeWork Competitor Knotel Pushes For Blockchain With 42Floors Acquisition https://t.co/2TgroOy7mm #Blockchain\xe2\x80\xa6 https://t.co/vTdxePmXGi'
2018-07-26 17:51:09,b'WeWork Competitor Knotel Pushes For Blockchain With 42Floors Acquisition https://t.co/bZ72z8Pj7c'
2018-07-26 17:44:08,b'WeWork Competitor Knotel Pushes For Blockchain With 42Floors Acquisition https://t.co/5dCmmwbb9t'
2018-07-26 17:30:35,b'WeWork Competitor Knotel Pushes For Blockchain With 42Floors Acquisition https://t.co/4pSDb5dNe0 #RealEstate https://t.co/YQO40oRhio'
2018-07-26 17:27:07,b'WeWork Competitor Knotel Pushes For Blockchain With 42Floors Acquisition https://t.co/nIUO4ndDav https://t.co/S1mt0xMHLu'
2018-07-26 17:27:05,b'WeWork Competitor Knotel Pushes For Blockchain With 42Floors Acquisition https://t.co/QAKtdVjeT9 https://t.co/r1RHnNHXju'
2018-07-26 17:16:09,b'WeWork Competitor Knotel Pushes For Blockchain With 42Floors Acquisition https://t.co/qTCyXijSjg\xe2\x80\xa6 https://t.co/406gGfv1Px'
2018-07-26 17:16:04,b'WeWork Competitor Knotel Pushes For Blockchain With 42Floors Acquisition https://t.co/Wg0wMO6eVh https://t.co/EFAEpfm21i'
2018-07-26 17:14:21,b'WeWork Competitor Knotel Pushes For Blockchain With 42Floors Acquisition https://t.co/LO934XI03i'
2018-07-26 17:14:16,b'WeWork Competitor Knotel Pushes For #blockchain With 42Floors Acquisition https://t.co/leYWZSEn53 https://t.co/JBR0HQzXlJ'
2018-07-26 17:12:39,"b'WeWork Competitor Knotel Pushes For Blockchain With 42Floors Acquisition The flexible office space company, founded\xe2\x80\xa6 https://t.co/yKHu3xcV9U'"
2018-07-26 17:11:18,b'WeWork Competitor Knotel Pushes For Blockchain With 42Floors Acquisition https://t.co/sU6tW1DSfC'
2018-07-26 17:11:05,b'WeWork Competitor Knotel Pushes For Blockchain With 42Floors Acquisition https://t.co/suwe8uqMnL'
2018-07-26 17:09:18,b'WeWork Competitor Knotel Pushes For Blockchain With 42Floors Acquisition https://t.co/WCarRPqQxD'
2018-07-26 14:49:16,"b'4) Get flexible...Tech companies including WeWork, Convene and Knotel have been selling commercial landlords on the\xe2\x80\xa6 https://t.co/wrXnJnupa5'"
2018-07-26 14:08:09,b'So true. \xf0\x9f\x99\x8c https://t.co/qBKeJcAgmb'
2018-07-26 14:07:04,"b'Top VC founder Vinod Khosla stresses that startups need business plans that allow for trial and error, and must res\xe2\x80\xa6 https://t.co/xcLlTW2NqH'"
